name,image,title
Pac-Man,225,Pac Man
Bubble_Bobble,224,
Prince_of_Persia,223,
Karateka_(video_game),211,Karateka
Tetris,190,
Donkey_Kong,189,
Castle_Wolfenstein,188,
Styx_(Windmill_game),187,Styx
Digger_(video_game),186,Digger
Defender_of_the_Crown,165,
Lode_Runner,139,
King's_Quest,117,
Leisure_Suit_Larry_in_the_Land_of_the_Lounge_Lizards,164,
Frogger,140,
Space_Quest,163,
Thexder,138,
Police_Quest,144,
Space_Invaders,143,
Star_Wars,137,
Chess,142,
The_Matrix,108,
The_Godfather,41,
Jurassic_Park,42,
Christmas,110,
Easter,109,
Winter,141,
